Ablehnungsgrund,Adresse,Bewerbungsdatum,Bewerbungsquelle,Bewertung Assessment,Bewertung Erstes Gespräch,Bewertung Prescreening,E-Mail,Effektiver Gehalt,Einstellungsdatum,Geburtsdatum,Gehaltsvorstellungen,Geschlecht,Headhunter Firma,Headhunter Name,Interviewer,Job Titel,Kandidaten-ID,Nachname,Standort,Status,StellenID,Telefonnummer,Veröffentlichungsdatum,Vorname,id
Nicht verfügbar,"Pseudonymized, 3826 Tessin",01.12.2021,Headhunter,deutlich ungenügend,deutlich ungenügend,knapp ungenügend,pseudonymized_E-Mail_0,79406.31,01.07.2022,14.05.1993,120-130k,M,Zehnder Inc,Dr. Mercedes Kaiser,Joachim Kaiser,SEO Specialist,b5d27862-0fa0-489a-9eec-12edf92e6492,pseudonymized_Nachname_0,Bern,Eingereicht,b42b3f5b-4c62-49be-ac29-d827275f5d86,pseudonymized_Telefonnummer_0,12.10.2022,pseudonymized_Vorname_0,75e8
Unzureichende Qualifikationen,"Pseudonymized, 9867 Basel-Landschaft",31.05.2021,Headhunter,genügend,deutlich ungenügend,deutlich ungenügend,pseudonymized_E-Mail_1,121252.98,25.05.2022,15.02.1987,60-70k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Hermine Hess,HR Specialist,01fca5d2-703f-44f4-b249-0dc514335605,pseudonymized_Nachname_1,Luzern,Angebot,8c15555d-8f87-4031-95d4-39866bcaf3df,pseudonymized_Telefonnummer_1,07.11.2023,pseudonymized_Vorname_1,0d64
Andere,"Pseudonymized, 3970 Basel-Landschaft",11.01.2023,Headhunter,deutlich ungenügend,knapp ungenügend,gut,pseudonymized_E-Mail_2,133640.69,13.01.2024,01.06.1960,80-90k,M,"Siegrist, Ziegler and Schürch",Enis Bühler,Prof. Layla Küng,Database Administrator,4050f934-ffcf-4ded-8e5d-e4574cb19030,pseudonymized_Nachname_2,Bern,1. Interview,2eae3f24-5840-43d5-8afe-f16c1ccb8634,pseudonymized_Telefonnummer_2,07.05.2023,pseudonymized_Vorname_2,6038
Unvollständige Bewerbung,"Pseudonymized, 3734 Neuenburg",19.12.2022,Headhunter,deutlich ungenügend,deutlich ungenügend,genügend,pseudonymized_E-Mail_3,51143.05,23.09.2023,16.02.1974,100-110k,M,Ziegler Inc,Teresa Schneider,Wanda Giger,Accountant,ae397cd7-d10c-4791-a5af-dd9d0004da28,pseudonymized_Nachname_3,Zürich,Assessment,74bc8c43-d4c1-4aa5-b3ca-6ec046712a2a,pseudonymized_Telefonnummer_3,05.05.2024,pseudonymized_Vorname_3,8f85
Unvollständige Bewerbung,"Pseudonymized, 9621 Uri",28.12.2022,Headhunter,gut,knapp ungenügend,knapp ungenügend,pseudonymized_E-Mail_4,69613.66,17.03.2024,13.03.1977,>140k,F,Zingg-Gasser,Damaris Zbinden,Ghislaine Walter,Content Creator,4ccfc7c5-2642-4936-ac8d-51bc8bdc6c4b,pseudonymized_Nachname_4,Luzern,Abgelehnt,c66522ee-e8f7-4f38-8bf4-b46c36d2c9cf,pseudonymized_Telefonnummer_4,14.11.2023,pseudonymized_Vorname_4,f5a8
Zu wenig Erfahrung,"Pseudonymized, 4639 Basel-Stadt",12.10.2022,Headhunter,knapp ungenügend,deutlich ungenügend,gut,pseudonymized_E-Mail_5,118725.59,03.04.2024,26.02.1966,60-70k,M,Zehnder Inc,Dr. Mercedes Kaiser,Prof. Layla Küng,Payroll Specialist,e7f36ec8-af46-405c-a550-3449b15453f3,pseudonymized_Nachname_5,Luzern,Angebot,b2adfb77-e428-4534-8075-a599e1e940a5,pseudonymized_Telefonnummer_5,17.05.2023,pseudonymized_Vorname_5,89a5
Gehaltsvorstellungen zu hoch,"Pseudonymized, 3178 Thurgau",22.03.2020,Headhunter,gut,deutlich ungenügend,gut,pseudonymized_E-Mail_6,73501.14,12.02.2021,22.10.1970,>140k,F,Albrecht-Forster,Dr. Petr Siegrist,Kristian Furrer,Auditor,9687e5c4-b097-453e-a7f5-f95ca5e18c46,pseudonymized_Nachname_6,Zürich,Angebot,37914122-229f-44b1-921b-895ee5763617,pseudonymized_Telefonnummer_6,29.07.2023,pseudonymized_Vorname_6,6580
Unvollständige Bewerbung,"Pseudonymized, 4365 Solothurn",03.05.2024,Headhunter,sehr gut,sehr gut,genügend,pseudonymized_E-Mail_7,128679.66,20.05.2024,17.09.1985,100-110k,F,"Siegrist, Ziegler and Schürch",Enis Bühler,Wanda Giger,Graphic Designer,2c4f4e9c-39a8-4b72-90d5-49840e38d1b6,pseudonymized_Nachname_7,Bern,Eingereicht,e4362733-0559-497f-b3f5-67f346f20425,pseudonymized_Telefonnummer_7,09.05.2024,pseudonymized_Vorname_7,d66a
Nicht verfügbar,"Pseudonymized, 7624 Basel-Landschaft",05.05.2020,Headhunter,gut,deutlich ungenügend,sehr gut,pseudonymized_E-Mail_8,111268.3,20.08.2022,07.05.1972,60-70k,M,Haas-Näf,Remo Bernasconi,Kristian Furrer,Auditor,b8bc8b5d-744b-4278-a3ae-2d7d0f448f32,pseudonymized_Nachname_8,Bern,Angebot,03398803-9d46-4e53-a5f7-7c50b86b001a,pseudonymized_Telefonnummer_8,28.09.2023,pseudonymized_Vorname_8,45d9
Zu wenig Erfahrung,"Pseudonymized, 7166 St. Gallen",22.12.2021,Headhunter,knapp ungenügend,sehr gut,deutlich ungenügend,pseudonymized_E-Mail_9,122633.48,24.10.2022,16.10.2003,60-70k,F,Spörri-Gasser,Ela Imhof Bachmann,Ghislaine Walter,Payroll Specialist,88f8c68d-437b-4075-a4d8-9344637b2503,pseudonymized_Nachname_9,Luzern,Assessment,61c24327-aca9-4380-9526-f1c7c524afce,pseudonymized_Telefonnummer_9,19.09.2023,pseudonymized_Vorname_9,c9df
